bin_index  r_left_A  r_right_A  r_center_A  shell_volume_A3  counts  normalization  g_r
4.900000000000000000e+01 9.799999999999999822e-01 1.000000000000000000e+00 9.899999999999999911e-01 2.463343743630783955e-01 0.000000000000000000e+00 3.552707994191890748e+02 0.000000000000000000e+00
5.000000000000000000e+01 1.000000000000000000e+00 1.020000000000000018e+00 1.010000000000000009e+00 2.563874708545660352e-01 0.000000000000000000e+00 3.697696757388450806e+02 0.000000000000000000e+00
5.100000000000000000e+01 1.020000000000000018e+00 1.040000000000000036e+00 1.030000000000000027e+00 2.666416292758821971e-01 0.000000000000000000e+00 3.845585295848800342e+02 0.000000000000000000e+00
5.200000000000000000e+01 1.040000000000000036e+00 1.060000000000000053e+00 1.050000000000000044e+00 2.770968496270292403e-01 0.000000000000000000e+00 3.996373609573200838e+02 0.000000000000000000e+00
5.300000000000000000e+01 1.060000000000000053e+00 1.080000000000000071e+00 1.070000000000000062e+00 2.877531319080062766e-01 0.000000000000000000e+00 4.150061698561544858e+02 0.000000000000000000e+00
5.400000000000000000e+01 1.080000000000000071e+00 1.100000000000000089e+00 1.090000000000000080e+00 2.986104761188131951e-01 0.000000000000000000e+00 4.306649562813781813e+02 0.000000000000000000e+00
5.500000000000000000e+01 1.100000000000000089e+00 1.120000000000000107e+00 1.110000000000000098e+00 3.096688822594482748e-01 0.000000000000000000e+00 4.466137202329878733e+02 0.000000000000000000e+00
5.600000000000000000e+01 1.120000000000000107e+00 1.140000000000000124e+00 1.130000000000000115e+00 3.209283503299141804e-01 0.000000000000000000e+00 4.628524617110035706e+02 0.000000000000000000e+00
5.700000000000000000e+01 1.140000000000000124e+00 1.159999999999999920e+00 1.149999999999999911e+00 3.323888803302063044e-01 0.000000000000000000e+00 4.793811807153985001e+02 0.000000000000000000e+00
5.800000000000000000e+01 1.159999999999999920e+00 1.179999999999999938e+00 1.169999999999999929e+00 3.440504722603358601e-01 0.000000000000000000e+00 4.961998772462000034e+02 0.000000000000000000e+00
5.900000000000000000e+01 1.179999999999999938e+00 1.199999999999999956e+00 1.189999999999999947e+00 3.559131261202897467e-01 0.000000000000000000e+00 5.133085513033895495e+02 0.000000000000000000e+00
6.000000000000000000e+01 1.199999999999999956e+00 1.219999999999999973e+00 1.209999999999999964e+00 3.679768419100754584e-01 0.000000000000000000e+00 5.307072028869729365e+02 0.000000000000000000e+00
6.100000000000000000e+01 1.219999999999999973e+00 1.239999999999999991e+00 1.229999999999999982e+00 3.802416196296892759e-01 0.000000000000000000e+00 5.483958319969460717e+02 0.000000000000000000e+00
6.200000000000000000e+01 1.239999999999999991e+00 1.260000000000000009e+00 1.250000000000000000e+00 3.927074592791348628e-01 0.000000000000000000e+00 5.663744386333099783e+02 0.000000000000000000e+00
6.300000000000000000e+01 1.260000000000000009e+00 1.280000000000000027e+00 1.270000000000000018e+00 4.053743608584066682e-01 0.000000000000000000e+00 5.846430227960775028e+02 0.000000000000000000e+00
6.400000000000000000e+01 1.280000000000000027e+00 1.300000000000000044e+00 1.290000000000000036e+00 4.182423243675121860e-01 0.000000000000000000e+00 6.032015844852228383e+02 0.000000000000000000e+00
6.500000000000000000e+01 1.300000000000000044e+00 1.320000000000000062e+00 1.310000000000000053e+00 4.313113498064457541e-01 0.000000000000000000e+00 6.220501237007738382e+02 0.000000000000000000e+00
6.600000000000000000e+01 1.320000000000000062e+00 1.340000000000000080e+00 1.330000000000000071e+00 4.445814371752093153e-01 0.000000000000000000e+00 6.411886404427178832e+02 0.000000000000000000e+00
6.700000000000000000e+01 1.340000000000000080e+00 1.360000000000000098e+00 1.350000000000000089e+00 4.580525864738009267e-01 0.000000000000000000e+00 6.606171347110362149e+02 0.000000000000000000e+00
6.800000000000000000e+01 1.360000000000000098e+00 1.380000000000000115e+00 1.370000000000000107e+00 4.717247977022261951e-01 0.000000000000000000e+00 6.803356065057685100e+02 0.000000000000000000e+00
6.900000000000000000e+01 1.380000000000000115e+00 1.400000000000000133e+00 1.390000000000000124e+00 4.855980708604759055e-01 0.000000000000000000e+00 7.003440558268813447e+02 0.000000000000000000e+00
7.000000000000000000e+01 1.400000000000000133e+00 1.419999999999999929e+00 1.410000000000000142e+00 4.996724059485536107e-01 0.000000000000000000e+00 7.206424826744010943e+02 0.000000000000000000e+00
7.100000000000000000e+01 1.419999999999999929e+00 1.439999999999999947e+00 1.429999999999999938e+00 5.139478029664724668e-01 0.000000000000000000e+00 7.412308870482955854e+02 0.000000000000000000e+00
7.200000000000000000e+01 1.439999999999999947e+00 1.459999999999999964e+00 1.449999999999999956e+00 5.284242619142119901e-01 0.000000000000000000e+00 7.621092689485982419e+02 0.000000000000000000e+00
7.300000000000000000e+01 1.459999999999999964e+00 1.479999999999999982e+00 1.469999999999999973e+00 5.431017827917851148e-01 0.000000000000000000e+00 7.832776283752965583e+02 0.000000000000000000e+00
7.400000000000000000e+01 1.479999999999999982e+00 1.500000000000000000e+00 1.489999999999999991e+00 5.579803655991864009e-01 0.000000000000000000e+00 8.047359653283873513e+02 0.000000000000000000e+00
7.500000000000000000e+01 1.500000000000000000e+00 1.520000000000000018e+00 1.510000000000000009e+00 5.730600103364176245e-01 0.000000000000000000e+00 8.264842798078545911e+02 0.000000000000000000e+00
7.600000000000000000e+01 1.520000000000000018e+00 1.540000000000000036e+00 1.530000000000000027e+00 5.883407170034768985e-01 0.000000000000000000e+00 8.485225718137295416e+02 0.000000000000000000e+00
7.700000000000000000e+01 1.540000000000000036e+00 1.560000000000000053e+00 1.550000000000000044e+00 6.038224856003679974e-01 0.000000000000000000e+00 8.708508413459834401e+02 0.000000000000000000e+00
7.800000000000000000e+01 1.560000000000000053e+00 1.580000000000000071e+00 1.570000000000000062e+00 6.195053161270890341e-01 0.000000000000000000e+00 8.934690884046365227e+02 0.000000000000000000e+00
7.900000000000000000e+01 1.580000000000000071e+00 1.600000000000000089e+00 1.590000000000000080e+00 6.353892085836400083e-01 0.000000000000000000e+00 9.163773129896907221e+02 0.000000000000000000e+00
8.000000000000000000e+01 1.600000000000000089e+00 1.620000000000000107e+00 1.610000000000000098e+00 6.514741629700153691e-01 0.000000000000000000e+00 9.395755151011296675e+02 0.000000000000000000e+00
8.100000000000000000e+01 1.620000000000000107e+00 1.640000000000000124e+00 1.630000000000000115e+00 6.677601792862282171e-01 0.000000000000000000e+00 9.630636947389716624e+02 0.000000000000000000e+00
8.200000000000000000e+01 1.640000000000000124e+00 1.660000000000000142e+00 1.650000000000000133e+00 6.842472575322690043e-01 0.000000000000000000e+00 9.868418519032043150e+02 0.000000000000000000e+00
8.300000000000000000e+01 1.660000000000000142e+00 1.679999999999999938e+00 1.669999999999999929e+00 7.009353977081267395e-01 0.000000000000000000e+00 1.010909986593809435e+03 0.000000000000000000e+00
8.400000000000000000e+01 1.679999999999999938e+00 1.699999999999999956e+00 1.689999999999999947e+00 7.178245998138349515e-01 0.000000000000000000e+00 1.035268098810834090e+03 0.000000000000000000e+00
8.500000000000000000e+01 1.699999999999999956e+00 1.719999999999999973e+00 1.709999999999999964e+00 7.349148638493637753e-01 0.000000000000000000e+00 1.059916188554242126e+03 0.000000000000000000e+00
8.600000000000000000e+01 1.719999999999999973e+00 1.739999999999999991e+00 1.729999999999999982e+00 7.522061898147206493e-01 0.000000000000000000e+00 1.084854255824040138e+03 0.000000000000000000e+00
8.700000000000000000e+01 1.739999999999999991e+00 1.760000000000000009e+00 1.750000000000000000e+00 7.696985777099094594e-01 0.000000000000000000e+00 1.110082300620236538e+03 0.000000000000000000e+00
8.800000000000000000e+01 1.760000000000000009e+00 1.780000000000000027e+00 1.770000000000000018e+00 7.873920275349299835e-01 0.000000000000000000e+00 1.135600322942823595e+03 0.000000000000000000e+00
