r(A),g(r)
3.325000000000000178e+00,8.958249531060322735e-01
3.334999999999999964e+00,9.056322505121544575e-01
3.344999999999999751e+00,8.971472340210097096e-01
3.355000000000000426e+00,9.060525461010131565e-01
3.365000000000000213e+00,9.191305973589080081e-01
3.375000000000000000e+00,9.306912415763137769e-01
3.384999999999999787e+00,9.360622782967010780e-01
3.395000000000000462e+00,9.456480398429659706e-01
3.405000000000000249e+00,9.623697926732824870e-01
3.415000000000000036e+00,9.468890827112539377e-01
3.424999999999999822e+00,9.623156730501986056e-01
3.435000000000000497e+00,9.625344470736088009e-01
3.445000000000000284e+00,9.842933203501517125e-01
3.455000000000000071e+00,9.843260374190895279e-01
3.464999999999999858e+00,9.873071568958355915e-01
3.475000000000000533e+00,9.945999886614057539e-01
3.485000000000000320e+00,1.004176098731719202e+00
3.495000000000000107e+00,1.007560552296219214e+00
3.504999999999999893e+00,1.016261774908097992e+00
3.515000000000000124e+00,1.026347084798551190e+00
3.525000000000000355e+00,1.035882474390211083e+00
3.535000000000000142e+00,1.036353224177122057e+00
3.544999999999999929e+00,1.041846049197255208e+00
3.554999999999999716e+00,1.053696206976197036e+00
3.565000000000000391e+00,1.056037222231905881e+00
3.575000000000000178e+00,1.055685959724729006e+00
3.584999999999999964e+00,1.069239701755124949e+00
3.594999999999999751e+00,1.068069660374421526e+00
3.605000000000000426e+00,1.069412760680301000e+00
3.615000000000000213e+00,1.078675819156693638e+00
3.625000000000000000e+00,1.082336052896777367e+00
3.635000000000000231e+00,1.099783689017739929e+00
3.645000000000000018e+00,1.099639427571336148e+00
3.655000000000000249e+00,1.092460520690922809e+00
3.665000000000000036e+00,1.105533816979563655e+00
3.674999999999999822e+00,1.107261988897563443e+00
3.685000000000000053e+00,1.108315707054152499e+00
3.695000000000000284e+00,1.107497468501330129e+00
3.705000000000000071e+00,1.111352793405101513e+00
3.714999999999999858e+00,1.118191514436049028e+00
3.725000000000000089e+00,1.124565412320418956e+00
3.735000000000000320e+00,1.119277874919950566e+00
3.745000000000000107e+00,1.123688853391373366e+00
3.754999999999999893e+00,1.123089949714517255e+00
3.765000000000000124e+00,1.121889412353354487e+00
3.775000000000000355e+00,1.127550723509518127e+00
3.785000000000000142e+00,1.132267885341984526e+00
3.794999999999999929e+00,1.130267673041558174e+00
3.805000000000000160e+00,1.129672214866497937e+00
3.815000000000000391e+00,1.131652731184183747e+00
3.825000000000000178e+00,1.134962137675281868e+00
3.834999999999999964e+00,1.131884780502542265e+00
3.845000000000000195e+00,1.124595283302480819e+00
3.855000000000000426e+00,1.127902687991111375e+00
3.865000000000000213e+00,1.130540835181184756e+00
3.875000000000000000e+00,1.136124483503463622e+00
3.885000000000000231e+00,1.130417471830706955e+00
3.895000000000000462e+00,1.133644447157897472e+00
3.905000000000000249e+00,1.124467218444426875e+00
3.915000000000000036e+00,1.122242528124471006e+00
3.924999999999999822e+00,1.126526410431106795e+00
3.935000000000000053e+00,1.123705315432874885e+00
3.945000000000000284e+00,1.120749530366400126e+00
3.955000000000000071e+00,1.122268628454089701e+00
3.964999999999999858e+00,1.111938625647520773e+00
3.975000000000000089e+00,1.120199395647396567e+00
3.985000000000000320e+00,1.121091109085859738e+00
3.995000000000000107e+00,1.112747272871852378e+00
4.004999999999999893e+00,1.109398858642555830e+00
4.014999999999999680e+00,1.120038795913508745e+00
4.025000000000000355e+00,1.102474548172253321e+00
4.035000000000000142e+00,1.112198539369944950e+00
4.044999999999999929e+00,1.094889644428252540e+00
4.055000000000000604e+00,1.092330082431838045e+00
4.065000000000000391e+00,1.103287129150768431e+00
4.075000000000000178e+00,1.092301277075292010e+00
4.084999999999999964e+00,1.087723126953260122e+00
4.094999999999999751e+00,1.089942584346456966e+00
4.105000000000000426e+00,1.085463189960494290e+00
4.115000000000000213e+00,1.080928947564308906e+00
4.125000000000000000e+00,1.081188657616071414e+00
4.135000000000000675e+00,1.077438251210478315e+00
4.145000000000000462e+00,1.066989761055249231e+00
4.155000000000000249e+00,1.067828435480283611e+00
4.165000000000000036e+00,1.068713502842398189e+00
4.174999999999999822e+00,1.065924748404135425e+00
4.184999999999999609e+00,1.071661168885408966e+00
4.195000000000000284e+00,1.063630453554755162e+00
4.205000000000000071e+00,1.059494243546232672e+00
4.214999999999999858e+00,1.058871611336544838e+00
4.225000000000000533e+00,1.053621918575025740e+00
4.235000000000000320e+00,1.054122733490661101e+00
4.245000000000000107e+00,1.058718982871729830e+00
4.254999999999999893e+00,1.050790980263970553e+00
4.264999999999999680e+00,1.054095544896478165e+00
4.275000000000000355e+00,1.046509214606701654e+00
4.285000000000000142e+00,1.039801834815315074e+00
4.294999999999999929e+00,1.044505129841639901e+00
4.305000000000000604e+00,1.037050158318604476e+00
4.315000000000000391e+00,1.041389456234640409e+00
4.325000000000000178e+00,1.051758540381854123e+00
4.334999999999999964e+00,1.041012814681836707e+00
4.344999999999999751e+00,1.036824466666340427e+00
4.355000000000000426e+00,1.046474533335345791e+00
4.365000000000000213e+00,1.040667392581521300e+00
4.375000000000000000e+00,1.040255371822895514e+00
4.385000000000000675e+00,1.031813224438939081e+00
4.395000000000000462e+00,1.038451238976089375e+00
4.405000000000000249e+00,1.038634249599762693e+00
4.415000000000000036e+00,1.035196698406550375e+00
4.424999999999999822e+00,1.041092067489416406e+00
4.434999999999999609e+00,1.040625716532476819e+00
4.445000000000000284e+00,1.040782926535301689e+00
4.455000000000000071e+00,1.029378250400039274e+00
4.464999999999999858e+00,1.038027535464195017e+00
4.475000000000000533e+00,1.028869620015206987e+00
4.485000000000000320e+00,1.033625069525472950e+00
4.495000000000000107e+00,1.033529213329940744e+00
4.504999999999999893e+00,1.030985321448939285e+00
4.514999999999999680e+00,1.030682934847412913e+00
4.525000000000000355e+00,1.025355005120762941e+00
4.535000000000000142e+00,1.030731587825657325e+00
4.544999999999999929e+00,1.029703775385583997e+00
4.555000000000000604e+00,1.026763889329384227e+00
4.565000000000000391e+00,1.021242614164179496e+00
4.575000000000000178e+00,1.025840598841445850e+00
4.584999999999999964e+00,1.017130144066634045e+00
4.594999999999999751e+00,1.021206935555620365e+00
4.605000000000000426e+00,1.022577256465211137e+00
4.615000000000000213e+00,1.029022244056844837e+00
4.625000000000000000e+00,1.025605581123628207e+00
4.635000000000000675e+00,1.022262682889188978e+00
4.645000000000000462e+00,1.020548795727471925e+00
4.655000000000000249e+00,1.015794763985666815e+00
4.665000000000000036e+00,1.017096929804394589e+00
4.674999999999999822e+00,1.028244756022591577e+00
4.684999999999999609e+00,1.021789626678761165e+00
4.695000000000000284e+00,1.017428460164360837e+00
4.705000000000000071e+00,1.015723119427214716e+00
4.714999999999999858e+00,1.019803657470456759e+00
4.725000000000000533e+00,1.014998953675479765e+00
4.735000000000000320e+00,1.011245554922820977e+00
4.745000000000000107e+00,1.021938300560980561e+00
4.754999999999999893e+00,1.014098513625952602e+00
4.764999999999999680e+00,1.015837871751827493e+00
4.775000000000000355e+00,1.014799139458760546e+00
4.785000000000000142e+00,1.018905172128165892e+00
4.794999999999999929e+00,1.016145183666824270e+00
4.805000000000000604e+00,1.014602793809847414e+00
4.815000000000000391e+00,1.008682498630678603e+00
4.825000000000000178e+00,1.015968495458873688e+00
4.834999999999999964e+00,1.006879752526781191e+00
4.844999999999999751e+00,1.005674553593077336e+00
4.855000000000000426e+00,1.002063989174137859e+00
4.865000000000000213e+00,1.007108160735065594e+00
4.875000000000000000e+00,1.006439436636797913e+00
4.885000000000000675e+00,1.011080215870824528e+00
4.895000000000000462e+00,1.009707472186983201e+00
4.905000000000000249e+00,1.003224660417711744e+00
4.915000000000000036e+00,1.006562954756855754e+00
4.924999999999999822e+00,1.001763576214138585e+00
4.934999999999999609e+00,1.000999838153397770e+00
4.945000000000000284e+00,1.006744092454166628e+00
4.955000000000000071e+00,9.989122727687874681e-01
4.964999999999999858e+00,1.001784606898449281e+00
4.975000000000000533e+00,9.988255399142254021e-01
4.985000000000000320e+00,9.980368621756250391e-01
4.995000000000000107e+00,1.004670878004850110e+00
