r(A),g(r)
1.915000000000000036e+00,8.017251190896317325e-01
1.924999999999999822e+00,7.660283331078281410e-01
1.935000000000000053e+00,7.551193584452937646e-01
1.944999999999999840e+00,7.012082778580110975e-01
1.955000000000000071e+00,6.885303695571779459e-01
1.964999999999999858e+00,6.858836644504530122e-01
1.975000000000000089e+00,6.559011976687132428e-01
1.984999999999999876e+00,6.298622789676718847e-01
1.995000000000000107e+00,6.234910447229990993e-01
2.004999999999999893e+00,6.041243449344751992e-01
2.014999999999999680e+00,5.896682518845977050e-01
2.025000000000000355e+00,5.744803404521758861e-01
2.035000000000000142e+00,5.521605104095570482e-01
2.044999999999999929e+00,5.329452443189114375e-01
2.054999999999999716e+00,5.303044598663705367e-01
2.065000000000000391e+00,5.125004906194624565e-01
2.075000000000000178e+00,4.959544683526173614e-01
2.084999999999999964e+00,4.862864575199052353e-01
2.094999999999999751e+00,4.691378152690742764e-01
2.105000000000000426e+00,4.586874448826754880e-01
2.115000000000000213e+00,4.524856456316850295e-01
2.125000000000000000e+00,4.315241417647890376e-01
2.134999999999999787e+00,4.247000699395181988e-01
2.145000000000000462e+00,4.123909660040152581e-01
2.155000000000000249e+00,4.104404542419190505e-01
2.165000000000000036e+00,3.966639035439796790e-01
2.174999999999999822e+00,3.878904212578170863e-01
2.184999999999999609e+00,3.781098247932448420e-01
2.195000000000000284e+00,3.724519324866815140e-01
2.205000000000000071e+00,3.583764388512860610e-01
2.214999999999999858e+00,3.528493379549572651e-01
2.224999999999999645e+00,3.478741581283407158e-01
2.235000000000000320e+00,3.411213455178673248e-01
2.245000000000000107e+00,3.362532886778945573e-01
2.254999999999999893e+00,3.214499798814876574e-01
2.264999999999999680e+00,3.159124299817915871e-01
2.275000000000000355e+00,3.259351003466869900e-01
2.285000000000000142e+00,2.976135931187355310e-01
2.294999999999999929e+00,3.056760106224960527e-01
2.304999999999999716e+00,2.905120960937933039e-01
2.315000000000000391e+00,2.907054047806784114e-01
2.325000000000000178e+00,2.889589664729043106e-01
2.334999999999999964e+00,2.854815985358329367e-01
2.344999999999999751e+00,2.800547724165365904e-01
2.355000000000000426e+00,2.752310005663621828e-01
2.365000000000000213e+00,2.773026302381843555e-01
2.375000000000000000e+00,2.723579758546657015e-01
2.384999999999999787e+00,2.690621679206467998e-01
2.395000000000000462e+00,2.668199929603550236e-01
2.405000000000000249e+00,2.633559378334148771e-01
2.415000000000000036e+00,2.641541608273557662e-01
2.424999999999999822e+00,2.630618112546893594e-01
2.434999999999999609e+00,2.693423357387596528e-01
2.445000000000000284e+00,2.565991250590792250e-01
2.455000000000000071e+00,2.683780413245664964e-01
2.464999999999999858e+00,2.610654895706237544e-01
2.474999999999999645e+00,2.568831634338860637e-01
2.485000000000000320e+00,2.663855466528758376e-01
2.495000000000000107e+00,2.697355795671245171e-01
2.504999999999999893e+00,2.791062894777101566e-01
2.514999999999999680e+00,2.804111656508435080e-01
2.525000000000000355e+00,2.896234077337303536e-01
2.535000000000000142e+00,2.905826119841202759e-01
2.544999999999999929e+00,2.917856839665405877e-01
2.554999999999999716e+00,2.946885245823929744e-01
2.565000000000000391e+00,3.106342308492446302e-01
2.575000000000000178e+00,3.091856138203268878e-01
2.584999999999999964e+00,3.243664986683165163e-01
2.594999999999999751e+00,3.348819237679018790e-01
2.605000000000000426e+00,3.504250599122009646e-01
2.615000000000000213e+00,3.579829871277708797e-01
2.625000000000000000e+00,3.733888076543898649e-01
2.634999999999999787e+00,3.837616832358374253e-01
2.645000000000000462e+00,3.973151262377865311e-01
2.655000000000000249e+00,4.099975461914853181e-01
2.665000000000000036e+00,4.214609545957295200e-01
2.674999999999999822e+00,4.413489618510641477e-01
2.684999999999999609e+00,4.545923657955532882e-01
2.695000000000000284e+00,4.718076397908702591e-01
2.705000000000000071e+00,4.868595337364842734e-01
2.714999999999999858e+00,5.070121814543672167e-01
2.724999999999999645e+00,5.240527696831510651e-01
2.735000000000000320e+00,5.424545717714389648e-01
2.745000000000000107e+00,5.627621493052464841e-01
2.754999999999999893e+00,5.743799061565266761e-01
2.765000000000000124e+00,6.006789739970350706e-01
2.775000000000000355e+00,6.225293999616058338e-01
2.785000000000000142e+00,6.493075648395394417e-01
2.794999999999999929e+00,6.501847273897402024e-01
2.804999999999999716e+00,6.945085927084201360e-01
2.814999999999999947e+00,7.047992349611845730e-01
2.825000000000000178e+00,7.326444005897828626e-01
2.834999999999999964e+00,7.635336073010809965e-01
2.844999999999999751e+00,7.787169298576414045e-01
2.854999999999999982e+00,7.998417130513452156e-01
2.865000000000000213e+00,8.215690084912301572e-01
2.875000000000000000e+00,8.667283539034318363e-01
2.884999999999999787e+00,8.882099753135933584e-01
2.895000000000000018e+00,9.037509702252737309e-01
2.905000000000000249e+00,9.325914857489353560e-01
2.915000000000000036e+00,9.606753642624674683e-01
2.924999999999999822e+00,9.836224915332621999e-01
2.935000000000000053e+00,1.005630905213418691e+00
2.945000000000000284e+00,1.026818128245192252e+00
2.955000000000000071e+00,1.061206544948671171e+00
2.964999999999999858e+00,1.087773748731153400e+00
2.975000000000000089e+00,1.110497311016815036e+00
2.985000000000000320e+00,1.137370812605461579e+00
2.995000000000000107e+00,1.167245964833934169e+00
3.004999999999999893e+00,1.192888384133427015e+00
3.015000000000000124e+00,1.222014402684195478e+00
3.025000000000000355e+00,1.244947185664038392e+00
3.035000000000000142e+00,1.262717419859580970e+00
3.044999999999999929e+00,1.288772579617929459e+00
